0,1,2,3,4,5,6,7,8
763,878,1161,1423,1615,1824,1958,2205,2434
448,490,705,825,913,1025,1104,1204,1313
1660,1650,1745,1765,1808,1886,1945,1990,2037
61,52,57,69,70,72,74,76,78
202,210,249,275,280,289,300,317,331
1,2,5,5,4,7,6,7,7
1,1,1,1,1,1,1,1,2
11,14,16,20,23,25,28,30,31
49,74,116,130,149,168,187,205,223
266,156,191,210,191,203,210,195,214
5,5,5,6,6,6,6,7,7
472,512,495,517,543,552,568,578,599
2,3,4,5,6,6,6,7,7
9,9,9,9,10,10,10,11,11
1917,1733,1937,1892,1988,2072,2098,2152,2206
1,3,6,8,10,13,14,16,19
124,131,141,146,153,159,162,166,173
8,7,10,9,9,9,10,10,10
91,112,147,181,187,200,216,247,255
174,190,226,191,207,207,176,227,249
468,392,408,485,519,522,473,469,566
520,556,600,661,721,781,830,894,949
3267,3533,3908,4345,4565,4915,5351,5495,5613
1,2,2,2,2,2,2,2,2
1860,1801,1465,1962,1986,2688,2449,3119,3275
118,335,558,754,799,830,851,874,891
290,355,498,602,678,801,934,1088,1274
1913,1873,2143,2080,2166,2236,2304,2415,2513
87,118,159,205,217,228,239,248,257
17,17,12,20,20,19,21,21,22
82,81,87,127,134,142,155,158,162
52,58,73,94,105,121,138,156,177
632,771,939,1089,1130,1142,1263,1179,1417
504,499,544,548,561,580,593,604,617
201,234,270,304,315,331,342,352,368
257,249,261,278,281,294,299,307,317
